Timestamp,"Ithaca, NY, United States Daytime","Ithaca, NY, United States Humidity","Ithaca, NY, United States Condition","Ithaca, NY, United States Temp"
2023-12-31T16:43:00-05:00 New_York,FALSE,,,
2023-12-31T23:00:00-05:00 New_York,,100,snow,35
2024-01-01T00:00:00-05:00 New_York,,99,flurries,35
2024-01-01T01:00:00-05:00 New_York,,98,flurries,35
2024-01-01T02:00:00-05:00 New_York,,99,flurries,35
2024-01-01T03:00:00-05:00 New_York,,98,flurries,35
2024-01-01T04:00:00-05:00 New_York,,98,flurries,35
2024-01-01T05:00:00-05:00 New_York,,98,flurries,34
2024-01-01T06:00:00-05:00 New_York,,97,flurries,34
2024-01-01T07:00:00-05:00 New_York,,96,flurries,33
2024-01-01T07:36:00-05:00 New_York,TRUE,,,
2024-01-01T08:00:00-05:00 New_York,,95,flurries,32
2024-01-01T09:00:00-05:00 New_York,,92,ice,32
2024-01-01T10:00:00-05:00 New_York,,89,ice,32
2024-01-01T11:00:00-05:00 New_York,,86,ice,32
2024-01-01T12:00:00-05:00 New_York,,83,ice,33
2024-01-01T13:00:00-05:00 New_York,,80,ice,33
2024-01-01T14:00:00-05:00 New_York,,78,ice,33
2024-01-01T15:00:00-05:00 New_York,,76,ice,33
2024-01-01T16:00:00-05:00 New_York,,76,cloudy,33
2024-01-01T16:43:00-05:00 New_York,FALSE,,,
2024-01-01T17:00:00-05:00 New_York,,77,cloudy,33
2024-01-01T18:00:00-05:00 New_York,,82,cloudy,32
2024-01-01T19:00:00-05:00 New_York,,85,cloudy,32
2024-01-01T20:00:00-05:00 New_York,,86,ice,32
2024-01-01T21:00:00-05:00 New_York,,85,ice,32
2024-01-01T22:00:00-05:00 New_York,,82,ice,32
2024-01-01T23:00:00-05:00 New_York,,78,ice,31
2024-01-02T00:00:00-05:00 New_York,,87,partlyCloudy,27
2024-01-02T01:00:00-05:00 New_York,,86,clear,27
2024-01-02T02:00:00-05:00 New_York,,83,clear,27
2024-01-02T03:00:00-05:00 New_York,,81,clear,27
2024-01-02T04:00:00-05:00 New_York,,81,clear,27
2024-01-02T05:00:00-05:00 New_York,,82,clear,27
2024-01-02T06:00:00-05:00 New_York,,85,partlyCloudy,27
2024-01-02T07:00:00-05:00 New_York,,85,clear,26
2024-01-02T07:36:00-05:00 New_York,TRUE,,,
2024-01-02T08:00:00-05:00 New_York,,86,clear,26
2024-01-02T09:00:00-05:00 New_York,,87,partlyCloudy,28
2024-01-02T10:00:00-05:00 New_York,,83,partlyCloudy,30
2024-01-02T11:00:00-05:00 New_York,,77,partlyCloudy,32
2024-01-02T12:00:00-05:00 New_York,,70,clear,35
2024-01-02T13:00:00-05:00 New_York,,66,clear,36
2024-01-02T14:00:00-05:00 New_York,,64,clear,38
2024-01-02T15:00:00-05:00 New_York,,63,clear,38
2024-01-02T16:00:00-05:00 New_York,,66,clear,36
2024-01-02T16:44:00-05:00 New_York,FALSE,,,
2024-01-02T17:00:00-05:00 New_York,,74,clear,31
2024-01-02T18:00:00-05:00 New_York,,85,clear,28
2024-01-02T19:00:00-05:00 New_York,,87,clear,27
2024-01-02T20:00:00-05:00 New_York,,86,clear,28
2024-01-02T21:00:00-05:00 New_York,,81,clear,29
2024-01-02T22:00:00-05:00 New_York,,77,clear,29
2024-01-02T23:00:00-05:00 New_York,,75,clear,30
2024-01-03T00:00:00-05:00 New_York,,75,clear,30
2024-01-03T01:00:00-05:00 New_York,,75,clear,31
2024-01-03T02:00:00-05:00 New_York,,75,cloudy,32
2024-01-03T03:00:00-05:00 New_York,,74,cloudy,32
2024-01-03T04:00:00-05:00 New_York,,75,cloudy,33
2024-01-03T05:00:00-05:00 New_York,,77,cloudy,33
2024-01-03T06:00:00-05:00 New_York,,78,cloudy,33
2024-01-03T07:00:00-05:00 New_York,,79,cloudy,33
2024-01-03T07:36:00-05:00 New_York,TRUE,,,
2024-01-03T08:00:00-05:00 New_York,,79,cloudy,33
2024-01-03T09:00:00-05:00 New_York,,79,cloudy,34
2024-01-03T10:00:00-05:00 New_York,,78,cloudy,35
2024-01-03T11:00:00-05:00 New_York,,75,cloudy,36
2024-01-03T12:00:00-05:00 New_York,,71,cloudy,37
2024-01-03T13:00:00-05:00 New_York,,69,showers,37
2024-01-03T14:00:00-05:00 New_York,,67,showers,37
2024-01-03T15:00:00-05:00 New_York,,71,cloudy,37
2024-01-03T16:00:00-05:00 New_York,,73,showers,37
2024-01-03T16:45:00-05:00 New_York,FALSE,,,
2024-01-03T17:00:00-05:00 New_York,,75,showers,35
2024-01-03T18:00:00-05:00 New_York,,79,cloudy,34
2024-01-03T19:00:00-05:00 New_York,,81,cloudy,34
2024-01-03T20:00:00-05:00 New_York,,82,cloudy,33
2024-01-03T21:00:00-05:00 New_York,,83,partlyCloudy,33
2024-01-03T22:00:00-05:00 New_York,,85,partlyCloudy,33
2024-01-03T23:00:00-05:00 New_York,,85,partlyCloudy,32
2024-01-04T00:00:00-05:00 New_York,,80,partlyCloudy,32
2024-01-04T01:00:00-05:00 New_York,,82,partlyCloudy,31
2024-01-04T02:00:00-05:00 New_York,,86,cloudy,30
2024-01-04T03:00:00-05:00 New_York,,89,ice,30
2024-01-04T04:00:00-05:00 New_York,,90,cloudy,30
2024-01-04T05:00:00-05:00 New_York,,91,ice,31
2024-01-04T06:00:00-05:00 New_York,,91,ice,31
